"","Date","JonesExp","BanksExpSWP","BanksExpCVP","Alt"
"338",1949-11-30,"0","0","0","EXP1 071323"
"339",1949-12-31,"0","0","0","EXP1 071323"
"340",1950-01-31,"0","0","0","EXP1 071323"
"341",1950-02-28,"0","0","0","EXP1 071323"
"342",1950-03-31,"0","0","0","EXP1 071323"
"343",1950-04-30,"0","0","0","EXP1 071323"
"344",1950-05-31,"0","0","0","EXP1 071323"
"345",1950-06-30,"0","0","0","EXP1 071323"
"346",1950-07-31,"0","0","0","EXP1 071323"
"347",1950-08-31,"0","0","0","EXP1 071323"
"348",1950-09-30,"0","0","0","EXP1 071323"
"349",1950-10-31,"0","0","0","EXP1 071323"
"350",1950-11-30,"0","0","0","EXP1 071323"
"351",1950-12-31,"0","0","0","EXP1 071323"
"352",1951-01-31,"0","0","0","EXP1 071323"
"353",1951-02-28,"0","0","0","EXP1 071323"
"354",1951-03-31,"0","0","0","EXP1 071323"
"355",1951-04-30,"0","0","0","EXP1 071323"
"356",1951-05-31,"0","0","0","EXP1 071323"
"357",1951-06-30,"0","0","0","EXP1 071323"
"358",1951-07-31,"0","0","0","EXP1 071323"
"359",1951-08-31,"0","0","0","EXP1 071323"
"360",1951-09-30,"0","0","0","EXP1 071323"
"361",1951-10-31,"0","0","0","EXP1 071323"
"362",1951-11-30,"0","0","0","EXP1 071323"
"363",1951-12-31,"0","0","0","EXP1 071323"
"364",1952-01-31,"0","0","0","EXP1 071323"
"365",1952-02-29,"0","0","0","EXP1 071323"
"366",1952-03-31,"0","0","0","EXP1 071323"
"367",1952-04-30,"0","0","0","EXP1 071323"
"368",1952-05-31,"0","0","0","EXP1 071323"
"369",1952-06-30,"0","0","0","EXP1 071323"
"370",1952-07-31,"0","0","0","EXP1 071323"
"371",1952-08-31,"0","0","0","EXP1 071323"
"372",1952-09-30,"0","0","0","EXP1 071323"
"373",1952-10-31,"0","0","0","EXP1 071323"
"374",1952-11-30,"0","0","0","EXP1 071323"
"375",1952-12-31,"0","0","0","EXP1 071323"
"376",1953-01-31,"0","0","0","EXP1 071323"
"377",1953-02-28,"0","0","0","EXP1 071323"
"378",1953-03-31,"0","0","0","EXP1 071323"
"379",1953-04-30,"0","0","0","EXP1 071323"
"380",1953-05-31,"0","0","0","EXP1 071323"
"381",1953-06-30,"0","0","0","EXP1 071323"
"382",1953-07-31,"0","0","0","EXP1 071323"
"383",1953-08-31,"0","0","0","EXP1 071323"
"384",1953-09-30,"0","0","0","EXP1 071323"
"385",1953-10-31,"0","0","0","EXP1 071323"
"386",1953-11-30,"0","0","0","EXP1 071323"
"387",1953-12-31,"0","0","0","EXP1 071323"
"388",1954-01-31,"0","0","0","EXP1 071323"
"389",1954-02-28,"0","0","0","EXP1 071323"
"390",1954-03-31,"0","0","0","EXP1 071323"
"391",1954-04-30,"0","0","0","EXP1 071323"
"392",1954-05-31,"0","0","0","EXP1 071323"
"393",1954-06-30,"0","0","0","EXP1 071323"
"394",1954-07-31,"0","0","0","EXP1 071323"
"395",1954-08-31,"0","0","0","EXP1 071323"
"396",1954-09-30,"0","0","0","EXP1 071323"
"397",1954-10-31,"0","0","0","EXP1 071323"
"398",1954-11-30,"0","0","0","EXP1 071323"
"399",1954-12-31,"0","0","0","EXP1 071323"
"400",1955-01-31,"0","0","0","EXP1 071323"
"401",1955-02-28,"0","0","0","EXP1 071323"
"402",1955-03-31,"0","0","0","EXP1 071323"
"403",1955-04-30,"0","0","0","EXP1 071323"
"404",1955-05-31,"0","0","0","EXP1 071323"
"405",1955-06-30,"0","0","0","EXP1 071323"
"406",1955-07-31,"0","0","0","EXP1 071323"
"407",1955-08-31,"0","0","0","EXP1 071323"
"408",1955-09-30,"0","0","0","EXP1 071323"
"409",1955-10-31,"0","0","0","EXP1 071323"
"410",1955-11-30,"0","0","0","EXP1 071323"
"411",1955-12-31,"0","0","0","EXP1 071323"
"412",1956-01-31,"0","0","0","EXP1 071323"
"413",1956-02-29,"0","0","0","EXP1 071323"
"414",1956-03-31,"0","0","0","EXP1 071323"
"415",1956-04-30,"0","0","0","EXP1 071323"
"416",1956-05-31,"0","0","0","EXP1 071323"
"417",1956-06-30,"0","0","0","EXP1 071323"
"418",1956-07-31,"0","0","0","EXP1 071323"
"419",1956-08-31,"0","0","0","EXP1 071323"
"420",1956-09-30,"0","0","0","EXP1 071323"
"421",1956-10-31,"0","0","0","EXP1 071323"
"422",1956-11-30,"0","0","0","EXP1 071323"
"423",1956-12-31,"0","0","0","EXP1 071323"
"424",1957-01-31,"0","0","0","EXP1 071323"
"425",1957-02-28,"0","0","0","EXP1 071323"
"426",1957-03-31,"0","0","0","EXP1 071323"
"427",1957-04-30,"0","0","0","EXP1 071323"
"428",1957-05-31,"0","0","0","EXP1 071323"
"429",1957-06-30,"0","0","0","EXP1 071323"
"430",1957-07-31,"0","0","0","EXP1 071323"
"431",1957-08-31,"0","0","0","EXP1 071323"
"432",1957-09-30,"0","0","0","EXP1 071323"
"433",1957-10-31,"0","0","0","EXP1 071323"
"434",1957-11-30,"0","0","0","EXP1 071323"
"435",1957-12-31,"0","0","0","EXP1 071323"
"436",1958-01-31,"0","0","0","EXP1 071323"
"437",1958-02-28,"0","0","0","EXP1 071323"
"438",1958-03-31,"0","0","0","EXP1 071323"
"439",1958-04-30,"0","0","0","EXP1 071323"
"440",1958-05-31,"0","0","0","EXP1 071323"
"441",1958-06-30,"0","0","0","EXP1 071323"
"442",1958-07-31,"0","0","0","EXP1 071323"
"443",1958-08-31,"0","0","0","EXP1 071323"
"444",1958-09-30,"0","0","0","EXP1 071323"
"445",1958-10-31,"0","0","0","EXP1 071323"
"446",1958-11-30,"0","0","0","EXP1 071323"
"447",1958-12-31,"0","0","0","EXP1 071323"
"448",1959-01-31,"0","0","0","EXP1 071323"
"449",1959-02-28,"0","0","0","EXP1 071323"
"450",1959-03-31,"0","0","0","EXP1 071323"
"451",1959-04-30,"0","0","0","EXP1 071323"
"452",1959-05-31,"0","0","0","EXP1 071323"
"453",1959-06-30,"0","0","0","EXP1 071323"
"454",1959-07-31,"0","0","0","EXP1 071323"
"455",1959-08-31,"0","0","0","EXP1 071323"
"456",1959-09-30,"0","0","0","EXP1 071323"
"457",1959-10-31,"0","0","0","EXP1 071323"
"458",1959-11-30,"0","0","0","EXP1 071323"
"459",1959-12-31,"0","0","0","EXP1 071323"
"460",1960-01-31,"0","0","0","EXP1 071323"
"461",1960-02-29,"0","0","0","EXP1 071323"
"462",1960-03-31,"0","0","0","EXP1 071323"
"463",1960-04-30,"0","0","0","EXP1 071323"
"464",1960-05-31,"0","0","0","EXP1 071323"
"465",1960-06-30,"0","0","0","EXP1 071323"
"466",1960-07-31,"0","0","0","EXP1 071323"
"467",1960-08-31,"0","0","0","EXP1 071323"
"468",1960-09-30,"0","0","0","EXP1 071323"
"469",1960-10-31,"0","0","0","EXP1 071323"
"470",1960-11-30,"0","0","0","EXP1 071323"
"471",1960-12-31,"0","0","0","EXP1 071323"
"472",1961-01-31,"0","0","0","EXP1 071323"
"473",1961-02-28,"0","0","0","EXP1 071323"
"474",1961-03-31,"0","0","0","EXP1 071323"
"475",1961-04-30,"0","0","0","EXP1 071323"
"476",1961-05-31,"0","0","0","EXP1 071323"
"477",1961-06-30,"0","0","0","EXP1 071323"
"478",1961-07-31,"0","0","0","EXP1 071323"
"479",1961-08-31,"0","0","0","EXP1 071323"
"480",1961-09-30,"0","0","0","EXP1 071323"
"481",1961-10-31,"0","0","0","EXP1 071323"
"482",1961-11-30,"0","0","0","EXP1 071323"
"483",1961-12-31,"0","0","0","EXP1 071323"
"484",1962-01-31,"0","0","0","EXP1 071323"
"485",1962-02-28,"0","0","0","EXP1 071323"
"486",1962-03-31,"0","0","0","EXP1 071323"
"487",1962-04-30,"0","0","0","EXP1 071323"
"488",1962-05-31,"0","0","0","EXP1 071323"
"489",1962-06-30,"0","0","0","EXP1 071323"
"490",1962-07-31,"0","0","0","EXP1 071323"
"491",1962-08-31,"0","0","0","EXP1 071323"
"492",1962-09-30,"0","0","0","EXP1 071323"
"493",1962-10-31,"0","0","0","EXP1 071323"
"494",1962-11-30,"0","0","0","EXP1 071323"
"495",1962-12-31,"0","0","0","EXP1 071323"
"496",1963-01-31,"0","0","0","EXP1 071323"
"497",1963-02-28,"0","0","0","EXP1 071323"
"498",1963-03-31,"0","0","0","EXP1 071323"
"499",1963-04-30,"0","0","0","EXP1 071323"
"500",1963-05-31,"0","0","0","EXP1 071323"
"501",1963-06-30,"0","0","0","EXP1 071323"
"502",1963-07-31,"0","0","0","EXP1 071323"
"503",1963-08-31,"0","0","0","EXP1 071323"
"504",1963-09-30,"0","0","0","EXP1 071323"
"505",1963-10-31,"0","0","0","EXP1 071323"
"506",1963-11-30,"0","0","0","EXP1 071323"
"507",1963-12-31,"0","0","0","EXP1 071323"
"508",1964-01-31,"0","0","0","EXP1 071323"
"509",1964-02-29,"0","0","0","EXP1 071323"
"510",1964-03-31,"0","0","0","EXP1 071323"
"511",1964-04-30,"0","0","0","EXP1 071323"
"512",1964-05-31,"0","0","0","EXP1 071323"
"513",1964-06-30,"0","0","0","EXP1 071323"
"514",1964-07-31,"0","0","0","EXP1 071323"
"515",1964-08-31,"0","0","0","EXP1 071323"
"516",1964-09-30,"0","0","0","EXP1 071323"
"517",1964-10-31,"0","0","0","EXP1 071323"
"518",1964-11-30,"0","0","0","EXP1 071323"
"519",1964-12-31,"0","0","0","EXP1 071323"
"520",1965-01-31,"0","0","0","EXP1 071323"
"521",1965-02-28,"0","0","0","EXP1 071323"
"522",1965-03-31,"0","0","0","EXP1 071323"
"523",1965-04-30,"0","0","0","EXP1 071323"
"524",1965-05-31,"0","0","0","EXP1 071323"
"525",1965-06-30,"0","0","0","EXP1 071323"
"526",1965-07-31,"0","0","0","EXP1 071323"
"527",1965-08-31,"0","0","0","EXP1 071323"
"528",1965-09-30,"0","0","0","EXP1 071323"
"529",1965-10-31,"0","0","0","EXP1 071323"
"530",1965-11-30,"0","0","0","EXP1 071323"
"531",1965-12-31,"0","0","0","EXP1 071323"
